2019-11-13 20:52:47 INFO  LogLog4j:41 - -- @BeforeSuite-- initTestSuite() was started
2019-11-13 20:52:48 INFO  LogLog4j:41 - -- @BeforeMethod-- initWebDriver() was started
2019-11-13 20:52:48 INFO  LogLog4j:41 - - driver was defined
2019-11-13 20:52:54 INFO  LogLog4j:41 - - System was opened by url - https://mishpahug.co.il/
2019-11-13 20:53:02 INFO  LogLog4j:41 - - Open browser, fullscreen
2019-11-13 20:53:03 INFO  LogLog4j:41 - - IntoPage was initialized
2019-11-13 20:53:03 INFO  LogLog4j:41 - - IntroPage: --waitUntilPageLoaded() was started
2019-11-13 20:53:04 INFO  LogLog4j:41 - - IntroPage: -- closeIntroPage() (close by X button) was started
2019-11-13 20:53:04 INFO  LogLog4j:41 - -- HomePageTests - @BeforeMethod - initTests() was started
2019-11-13 20:53:04 INFO  LogLog4j:41 - --- HomePage was loaded--
2019-11-13 20:53:04 INFO  LogLog4j:41 - -- HomePageHelper: waitUntilPageIsLoaded() was started
2019-11-13 20:53:04 INFO  LogLog4j:41 - -- Wait until loginIcon element is clickable
2019-11-13 20:53:05 INFO  LogLog4j:41 - -- Wait until all events are visible
2019-11-13 20:53:06 INFO  LogLog4j:15 - 
2019-11-13 20:53:06 INFO  LogLog4j:16 - 
2019-11-13 20:53:06 INFO  LogLog4j:17 - *******************************************************************
2019-11-13 20:53:06 INFO  LogLog4j:18 -                    Test Case: singleFilterHolidaysBy, TestData: holiday - Other
2019-11-13 20:53:06 INFO  LogLog4j:19 - *******************************************************************
2019-11-13 20:53:06 INFO  LogLog4j:41 - -- HomePageHelper: filterEventsByHoliday(Other) was started
2019-11-13 20:53:06 INFO  LogLog4j:41 - -- To wait that select-element (filter by holiday) and all options are loaded 
2019-11-13 20:53:06 INFO  LogLog4j:41 - -- Choose filter by holiday Other
2019-11-13 20:53:07 INFO  LogLog4j:41 - -- To wait that clearFilterButton element is clickable
2019-11-13 20:53:07 INFO  LogLog4j:41 - ------ To wait that filter by holiday Otheris chosen -----
2019-11-13 20:53:07 INFO  LogLog4j:41 - -- To wait that all events are loaded ---
2019-11-13 20:53:08 INFO  LogLog4j:41 - -- HomePageHelper: allEventsBelongToHoliday() was started for holiday-Other
2019-11-13 20:53:08 INFO  LogLog4j:41 - -- @AfterMethod-- tearDown() was started
2019-11-13 20:53:09 INFO  LogLog4j:41 - -- @BeforeMethod-- initWebDriver() was started
2019-11-13 20:53:09 INFO  LogLog4j:41 - - driver was defined
2019-11-13 20:53:13 INFO  LogLog4j:41 - - System was opened by url - https://mishpahug.co.il/
2019-11-13 20:53:34 INFO  LogLog4j:41 - - Open browser, fullscreen
2019-11-13 20:53:35 INFO  LogLog4j:41 - - IntoPage was initialized
2019-11-13 20:53:35 INFO  LogLog4j:41 - - IntroPage: --waitUntilPageLoaded() was started
2019-11-13 20:53:35 INFO  LogLog4j:41 - - IntroPage: -- closeIntroPage() (close by X button) was started
2019-11-13 20:53:36 INFO  LogLog4j:41 - -- HomePageTests - @BeforeMethod - initTests() was started
2019-11-13 20:53:36 INFO  LogLog4j:41 - --- HomePage was loaded--
2019-11-13 20:53:36 INFO  LogLog4j:41 - -- HomePageHelper: waitUntilPageIsLoaded() was started
2019-11-13 20:53:36 INFO  LogLog4j:41 - -- Wait until loginIcon element is clickable
2019-11-13 20:53:36 INFO  LogLog4j:41 - -- Wait until all events are visible
2019-11-13 20:53:37 INFO  LogLog4j:15 - 
2019-11-13 20:53:37 INFO  LogLog4j:16 - 
2019-11-13 20:53:37 INFO  LogLog4j:17 - *******************************************************************
2019-11-13 20:53:37 INFO  LogLog4j:18 -                    Test Case: singleFilterHolidaysBy, TestData: holiday - Shabbat
2019-11-13 20:53:37 INFO  LogLog4j:19 - *******************************************************************
2019-11-13 20:53:37 INFO  LogLog4j:41 - -- HomePageHelper: filterEventsByHoliday(Shabbat) was started
2019-11-13 20:53:37 INFO  LogLog4j:41 - -- To wait that select-element (filter by holiday) and all options are loaded 
2019-11-13 20:53:37 INFO  LogLog4j:41 - -- Choose filter by holiday Shabbat
2019-11-13 20:53:37 INFO  LogLog4j:41 - -- To wait that clearFilterButton element is clickable
2019-11-13 20:53:38 INFO  LogLog4j:41 - ------ To wait that filter by holiday Shabbatis chosen -----
2019-11-13 20:53:38 INFO  LogLog4j:41 - -- To wait that all events are loaded ---
2019-11-13 20:53:39 INFO  LogLog4j:41 - -- HomePageHelper: allEventsBelongToHoliday() was started for holiday-Shabbat
2019-11-13 20:53:39 INFO  LogLog4j:41 - -- @AfterMethod-- tearDown() was started
2019-11-13 20:53:40 INFO  LogLog4j:41 - -- @BeforeMethod-- initWebDriver() was started
2019-11-13 20:53:40 INFO  LogLog4j:41 - - driver was defined
2019-11-13 20:53:43 INFO  LogLog4j:41 - - System was opened by url - https://mishpahug.co.il/
2019-11-13 20:53:49 INFO  LogLog4j:41 - - Open browser, fullscreen
2019-11-13 20:53:50 INFO  LogLog4j:41 - - IntoPage was initialized
2019-11-13 20:53:50 INFO  LogLog4j:41 - - IntroPage: --waitUntilPageLoaded() was started
2019-11-13 20:53:50 INFO  LogLog4j:41 - - IntroPage: -- closeIntroPage() (close by X button) was started
2019-11-13 20:53:51 INFO  LogLog4j:41 - -- HomePageTests - @BeforeMethod - initTests() was started
2019-11-13 20:53:51 INFO  LogLog4j:41 - --- HomePage was loaded--
2019-11-13 20:53:51 INFO  LogLog4j:41 - -- HomePageHelper: waitUntilPageIsLoaded() was started
2019-11-13 20:53:51 INFO  LogLog4j:41 - -- Wait until loginIcon element is clickable
2019-11-13 20:53:51 INFO  LogLog4j:41 - -- Wait until all events are visible
2019-11-13 20:53:52 INFO  LogLog4j:15 - 
2019-11-13 20:53:52 INFO  LogLog4j:16 - 
2019-11-13 20:53:52 INFO  LogLog4j:17 - *******************************************************************
2019-11-13 20:53:52 INFO  LogLog4j:18 -                    Test Case: singleFilterHolidaysBy, TestData: holiday - Purim
2019-11-13 20:53:52 INFO  LogLog4j:19 - *******************************************************************
2019-11-13 20:53:52 INFO  LogLog4j:41 - -- HomePageHelper: filterEventsByHoliday(Purim) was started
2019-11-13 20:53:52 INFO  LogLog4j:41 - -- To wait that select-element (filter by holiday) and all options are loaded 
2019-11-13 20:53:52 INFO  LogLog4j:41 - -- Choose filter by holiday Purim
2019-11-13 20:53:52 INFO  LogLog4j:41 - -- To wait that clearFilterButton element is clickable
2019-11-13 20:53:53 INFO  LogLog4j:41 - ------ To wait that filter by holiday Purimis chosen -----
2019-11-13 20:53:53 INFO  LogLog4j:41 - -- To wait that all events are loaded ---
2019-11-13 20:53:53 INFO  LogLog4j:41 - -- HomePageHelper: allEventsBelongToHoliday() was started for holiday-Purim
2019-11-13 20:53:54 INFO  LogLog4j:41 - -- @AfterMethod-- tearDown() was started
